Ticker,Price,High52W,PctBelow,MarketCapM,AvgVolK,AvgDolVolM,Sector,Industry,Indexes,AI,Uranium,Chg3moPct,Px3moAgo,TrendUp,DataFlag
GTX,33.85,34.34,1.43,6336.3,2484.7,84.11,Consumer Cyclical,Auto Parts,,,,67.41,20.22,Y,
FHB,27.4,27.79,1.41,3333.2,1658.0,45.43,Financial Services,Banks - Regional,,,,8.18,25.33,Y,
PL,50.41,51.13,1.41,17965.8,12905.9,650.59,Industrials,Aerospace & Defense,,,,104.67,24.63,Y,
BKSY,51.38,52.09,1.36,1906.7,2019.7,103.77,Industrials,Specialty Business Services,,,,154.48,20.19,Y,
ZGN,13.44,13.62,1.32,3605.2,724.8,9.74,Consumer Cyclical,Apparel Manufacturing,,,,15.86,11.6,Y,
CMPS,12.32,12.48,1.28,1662.6,3901.5,48.07,Healthcare,Medical Care Facilities,,,,65.59,7.44,Y,
CNTA,39.74,40.26,1.28,6149.7,2583.5,102.68,Healthcare,Biotechnology,,,,47.37,26.97,Y,
WBI,31.5,31.9,1.25,1481.0,897.2,28.26,Energy,Oil & Gas Equipment & Services,,,,25.66,25.07,Y,
NVTS,33.43,33.82,1.15,7922.6,29890.8,999.25,Technology,Semiconductors,,,,238.36,9.88,Y,
CSX,46.21,46.74,1.14,85855.3,12517.3,578.36,Industrials,Railroads,Nasdaq100|SP500,,,9.8,42.08,Y,
NOV,21.14,21.38,1.14,7585.7,4758.3,100.57,Energy,Oil & Gas Equipment & Services,,,,5.35,20.06,Y,
NNN,44.97,45.48,1.13,8554.5,1629.8,73.28,Real Estate,REIT - Retail,,,,2.73,43.77,Y,
PK,11.77,11.9,1.13,2369.0,4023.5,47.34,Real Estate,REIT - Hotel & Motel,,,,7.02,10.99,Y,
XHR,17.03,17.23,1.13,1571.4,700.9,11.94,Real Estate,REIT - Hotel & Motel,,,,11.76,15.24,Y,
CYRX,14.2,14.36,1.11,715.7,541.4,7.69,Industrials,Integrated Freight & Logistics,,,,67.45,8.48,Y,
SLB,58.19,58.81,1.05,87004.9,16199.2,942.71,Energy,Oil & Gas Equipment & Services,SP500,,,12.65,51.66,Y,
UBS,47.64,48.12,0.99,156154.6,2667.9,127.1,Financial Services,Banks - Diversified,,,,17.64,40.5,Y,
FCF,18.81,19.0,0.98,1912.7,869.6,16.36,Financial Services,Banks - Regional,,,,4.31,18.03,Y,
EFC,13.56,13.69,0.95,1700.3,1588.5,21.54,Real Estate,REIT - Mortgage,,,,11.76,12.13,Y,
CEVA,40.91,41.29,0.92,1139.8,599.7,24.53,Technology,Semiconductors,,,,91.89,21.32,Y,
